 security/ncat/ncat , ✅(2s) 
 security/traceroute/traceroute , ❌(xbin init) 
 security/openssl/openssl , ✅(2s) 
 security/openssl/ssl , ❌(install_path) 
 security/nping/nping , ✅(1s) 
 security/nmap/nmap , ✅(2s) 
 security/bandwhich/bandwhich , ✅(2s) 
 security/smartctl/smartctl , ✅(1s) 
 media/agg/agg , ✅(1s) 
 media/magick/magick , ❌(xbin init) 
 media/ffmpeg/ffmpeg , ❌(xbin init) 
 media/sqlite3/sqlite3 , ✅(1s) 
 osman/brook/brook , ✅(2s) 
 osman/pandoc/pandoc , ❌(xbin init) 
 osman/terraform/terraform , ❌(xbin init) 
 osman/gitea/gitea , ❌(xbin init) 
 osman/gitui/gitui , ✅(2s) 
 osman/usql/usql , ✅(4s) 
 osman/duf/duf , ✅(1s) 
 osman/kubectx/kubectx , ✅(2s) 
 osman/bit/bit , ✅(1s) 
 osman/kube-capacity/kube-capacity , ❌(smoke) 
 osman/ffuf/ffuf , ✅(2s) 
 osman/tig/tig , ✅(1s) 
 osman/busybox/busybox , ❌(xbin init) 
 osman/minikube/minikube , ✅(3s) 
 osman/chatgpt/chatgpt , ✅(1s) 
 osman/sodium/sodium , ❌(smoke) 
 osman/gh/gh , ❌(xbin init) 
 osman/gh/ghcli , ❌(xbin init) 
 osman/zstd/zstd , ❌(xbin init) 
 osman/goreleaser/goreleaser , ✅(2s) 
 osman/kube-linter/kube-linter , ❌(smoke) 
 osman/lazygit/lazygit , ✅(2s) 
 osman/bwrap/bwrap , ❌(xbin init) 
 osman/7za/7za , ✅(1s) 
 osman/7za/p7zip , ❌(install_path) 
 osman/7za/7z , ❌(install_path) 
 osman/sqlean/sqlean , ❌(xbin init) 
 osman/grex/grex , ✅(2s) 
 osman/dust/dust , ✅(1s) 
 osman/dust/du , ❌(install_path) 
 osman/termshark/termshark , ❌(smoke) 
 osman/gum/gum , ❌(xbin init) 
 osman/xsv/xsv , ❌(xbin init) 
 osman/mosquitto/mosquitto , ❌(xbin init) 
 osman/mosquitto/mqtt , ❌(xbin init) 
 osman/mosquitto/mosquitto_passwd , ❌(xbin init) 
 osman/mosquitto/mosquitto_pub , ❌(xbin init) 
 osman/mosquitto/mosquitto_rr , ❌(xbin init) 
 osman/mosquitto/mosquitto_sub , ❌(xbin init) 
 osman/mosquitto/mosquitto_ctrl , ❌(xbin init) 
 osman/rg/rg , ✅(1s) 
 osman/curl/curl , ✅(1s) 
 osman/rclone/rclone , ✅(3s) 
 osman/mirrord/mirrord , ✅(3s) 
 osman/ucloud/ucloud , ✅(2s) 
 osman/kube-score/kube-score , ❌(smoke) 
 osman/fd/fd , ❌(xbin init) 
 osman/fd/ff , ❌(xbin init) 
 osman/bat/bat , ✅(2s) 
 osman/trdsql/trdsql , ✅(2s) 
 osman/gost/gost , ✅(2s) 
 osman/gotop/gotop , ✅(1s) 
 osman/proot/proot , ❌(install_path) 
 osman/procs/procs , ✅(2s) 
 osman/ws4sqlite/ws4sqlite , ❌(xbin init) 
 osman/zellij/zellij , ❌(xbin init) 
 osman/kind/kind , ✅(2s) 
 osman/jq/jq , ✅(1s) 
 osman/k3d/k3d , ✅(2s) 
 osman/gitleaks/gitleaks , ✅(2s) 
 osman/exa/exa , ✅(0s) 
 osman/zenith/zenith , ❌(xbin init) 
 osman/fzf/fzf , ✅(1s) 
 osman/mawk/mawk , ❌(xbin init) 
 osman/difft/difft , ✅(2s) 
 osman/micro/micro , ✅(2s) 
 osman/tmux/tmux , ✅(1s) 
 osman/tokei/tokei , ✅(1s) 
 osman/qrencode/qrencode , ✅(1s) 
 osman/qrencode/qr , ❌(install_path) 
 osman/hyperfine/hyperfine , ❌(xbin init) 
 osman/aliyun/aliyun , ❌(xbin init) 
 osman/yq/yq , ✅(1s) 
 osman/helm/helm , ❌(xbin init) 
 osman/helix/helix , ❌(install_path) 
 osman/helix/hx , ❌(smoke) 
 sdkman/maven/maven , ❌(install_path) 
 sdkman/maven/mvn , ✅(0s) 
 sdkman/mybatis_migrations/mybatis_migrations , ❌(install_path) 
 sdkman/mybatis_migrations/migrate , ❌(smoke) 
 sdkman/schemacrawler/schemacrawler , ❌(install_path) 
 sdkman/jreleaser/jreleaser , ❌(smoke) 
 sdkman/hadoop/hadoop , ✅(17s) 
 sdkman/skeletal/skeletal , ✅(2s) 
 sdkman/sbt/sbt , ✅(2s) 
 sdkman/ballerina/ballerina , ❌(install_path) 
 sdkman/ballerina/bal , ❌(smoke) 
 sdkman/spark/spark , ❌(xbin init) 
 sdkman/spark/spark-shell , ❌(xbin init) 
 sdkman/flink/flink , ❌(xbin init) 
 sdkman/kscript/kscript , ✅(2s) 
 sdkman/webtau/webtau , ❌(smoke) 
 sdkman/asciidoctorj/asciidoctorj , ❌(xbin init) 
 sdkman/kobweb/kobweb , ✅(2s) 
 sdkman/tomcat/tomcat , ❌(xbin init) 
 sdkman/ant/ant , ✅(1s) 
 sdkman/groovyserv/groovyserv , ❌(install_path) 
 sdkman/groovyserv/groovyserver , ❌(smoke) 
 sdkman/mcs/mcs , ✅(2s) 
 sdkman/jbake/jbake , ✅(2s) 
 sdkman/karaf/karaf , ✅(2s) 
 sdkman/micronaut/micronaut , ❌(install_path) 
 sdkman/micronaut/mn , ❌(smoke) 
 sdkman/visualvm/visualvm , ✅(2s) 
 sdkman/jmeter/jmeter , ✅(3s) 
 sdkman/doctoolchain/doctoolchain , ✅(1s) 
 sdkman/activemq/activemq , ✅(33s) 
 sdkman/bpipe/bpipe , ✅(2s) 
 sdkman/layrry/layrry , ✅(1s) 
 sdkman/concurnas/concurnas , ❌(install_path) 
 sdkman/concurnas/conc , ❌(smoke) 
 sdkman/coursier/coursier , ❌(xbin init) 
 sdkman/coursier/cs , ❌(xbin init) 
 sdkman/scala_cli/scala_cli , ❌(xbin init) 
 sdkman/ki/ki , ✅(3s) 
 sdkman/znai/znai , ❌(smoke) 
 sdkman/pierrot/pierrot , ❌(xbin init) 
 sdkman/mvnd/mvnd , ✅(2s) 
 sdkman/ktx/ktx , ✅(2s) 
 sdkman/toolkit/toolkit , ✅(2s) 
 sdkman/connor/connor , ✅(2s) 
 sdkman/pomchecker/pomchecker , ✅(2s) 
 sdkman/groovy/groovy , ✅(2s) 
 sdkman/infrastructor/infrastructor , ✅(2s) 
 sdkman/quarkus/quarkus , ✅(2s) 
 sdkman/gradle/gradle , ✅(3s) 
 sdkman/btrace/btrace , ❌(xbin init) 
 sdkman/neo4j_migrations/neo4j_migrations , ❌(install_path) 
 sdkman/gaiden/gaiden , ❌(smoke) 
 sdkman/mulefd/mulefd , ✅(2s) 
 sdkman/grails/grails , ✅(5s) 
 lang/deno/deno , ✅(2s) 
 lang/raku/raku , ❌(xbin init) 
 lang/node/node , ✅(401s) 
 lang/node/npm , ✅(2s) 
 lang/zig/zig , ❌(xbin init) 
 lang/python/python , ✅(18s) 
 lang/rust/rust , ❌(xbin init) 
 lang/rust/rustc , ❌(xbin init) 
 lang/scala/scala , ✅(2s) 
 lang/scala/scaladoc , ✅(0s) 
 lang/perl/perl , ✅(2s) 
 lang/julia/julia , ✅(7s) 
 lang/lua/lua , ❌(xbin init) 
 lang/lua/luac , ❌(xbin init) 
 lang/java/java , ✅(0s) 
 lang/java/javac , ✅(0s) 
 lang/go/go , ✅(4s) 
 lang/go/gofmt , ✅(1s) 
 lang/bun/bun , ❌(xbin init) 
 lang/kotlin/kotlin , ✅(0s) 
 lang/kotlin/kotlinc , ✅(0s) 
