 test/hyperfine/hyperfine , ✅(1s) 
 test/ffuf/ffuf , ✅(1s) 
 cloud-public/qshell/qshell , ✅(2s) 
 cloud-public/hcloud/hcloud , ✅(1s) 
 cloud-public/koocli/koocli , ❌(xbin init) 
 cloud-public/ibmcloud/ibmcloud , ✅(2s) 
 cloud-public/gcloud/gcloud , ✅(11s) 
 cloud-public/doctl/doctl , ✅(2s) 
 cloud-public/ucloud/ucloud , ✅(1s) 
 cloud-public/aliyun/aliyun , ✅(1s) 
 scm-git-service/gitea/gitea , ✅(4s) 
 scm-git-service/goreleaser/goreleaser , ✅(2s) 
 scm-git-service/tea/tea , ✅(1s) 
 scm-git-service/soft-serve/soft , ❌(xbin init) 
 scm-git-service/act_runner/act_runner , ✅(1s) 
 db-mysql/mysql/mysql , ✅(17s) 
 data-json-yml/jq/jq , ✅(1s) 
 data-json-yml/yq/yq , ✅(1s) 
 data-json-yml/dasel/dasel , ✅(1s) 
 lang-perl-raku/perl/perl , ✅(2s) 
 lang-perl-raku/raku/raku , ✅(5s) 
 wasm/wasmer/wasmer , ✅(8s) 
 wasm/jco/jco , ✅(6s) 
 wasm/wasmtime/wasmtime , ✅(1s) 
 entertainment/shtris/shtris , ✅(1s) 
 file-manager/yazi/yazi , ✅(1s) 
 file-manager/eza/eza , ✅(0s) 
 file-manager/lsd/lsd , ✅(1s) 
 file-manager/broot/broot , ✅(1s) 
 file-manager/superfile/spf , ✅(1s) 
 file-manager/exa/exa , ✅(1s) 
 file-manager/lf/lf , ✅(1s) 
 editor/helix/hx , ✅(2s) 
 editor/helix/helix , ✅(0s) 
 editor/micro/micro , ✅(1s) 
 editor/nvim/nvim , ✅(2s) 
 web-apitool/hurl/hurl , ✅(1s) 
 web-apitool/hurl/hurlfmt , ✅(0s) 
 network/socat/socat , ✅(1s) 
 network/bandwhich/bandwhich , ✅(1s) 
 network/brook/brook , ❌(xbin init) 
 network/tunasync/tunasync , ✅(2s) 
 network/tunasync/tunasynctl , ✅(0s) 
 network/tcping/tcping , ✅(1s) 
