 misc/grex/grex , ✅(1s) 
 osman/mirrord/mirrord , ✅(3s) 
 osman/osquery/osqueryi , - 
 osman/ismc/ismc , ✅(1s) 
 osman/proot/proot , - 
 osman/procs/procs , ✅(1s) 
 osman/zenith/zenith , ✅(1s) 
 osman/gotop/gotop , ✅(2s) 
 osman/fastfetch/fastfetch , ✅(1s) 
 osman/bottom/btm , ✅(1s) 
 data-bin/upx/upx , - 
 cloud-tool/terraform/terraform , ✅(2s) 
 cloud-tool/rclone/rclone , ✅(3s) 
 test/hyperfine/hyperfine , ✅(1s) 
 test/ffuf/ffuf , ✅(1s) 
 web-apitool/hurl/hurl , ✅(2s) 
 web-apitool/hurl/hurlfmt , ✅(0s) 
 scm-git-tool/tig/tig , ✅(1s) 
 scm-git-tool/bit/bit , ✅(1s) 
 scm-git-tool/lazygit/lazygit , ✅(2s) 
 scm-git-tool/gitui/gitui , ✅(1s) 
 scm-git-tool/gix/gix , ✅(2s) 
 scm-git-tool/gix/ein , ✅(0s) 
 scm-git-tool/jj/jj , ✅(1s) 
 scm-git-tool/gitleaks/gitleaks , ✅(1s) 
 lang-js-ts/deno/deno , ✅(2s) 
 lang-js-ts/bun/bun , ✅(3s) 
 lang-js-ts/bun/bunx , ✅(0s) 
 lang-js-ts/node/node , ✅(3s) 
 lang-js-ts/node/npm , ✅(1s) 
 lang-js-ts/node/npx , ✅(0s) 
 security/ncat/ncat , ✅(1s) 
 security/ezcheck/ezcheck , ✅(1s) 
 security/cfssl/cfssl , ✅(2s) 
 security/rustscan/rustscan , ✅(1s) 
 security/nping/nping , ✅(1s) 
 security/skate/skate , ✅(2s) 
 security/gosop/gosop , ✅(1s) 
 security/easyrsa/easyrsa , ✅(2s) 
 security/sodium/sodium , ✅(1s) 
 security/nmap/nmap , ✅(2s) 
 security/kyanos/kyanos , - 
 security/openssl/ssl , ✅(1s) 
 security/openssl/openssl , ✅(0s) 
 security/lynis/lynis , ❌(xbin init) 
 security/grype/grype , ✅(2s) 
 data-csv-tsv/miller/mlr , ✅(1s) 
 data-csv-tsv/trdsql/trdsql , ✅(2s) 
 data-csv-tsv/xsv/xsv , ✅(1s) 
 sdkman/activemq/activemq , ❌(xbin init) 
 sdkman/ant/ant , ❌(xbin init) 
 sdkman/quarkus/quarkus , ✅(1s) 
 sdkman/karaf/karaf , ❌(xbin init) 
 sdkman/kscript/kscript , ✅(2s) 
 sdkman/btrace/btrace , ✅(1s) 
 sdkman/connor/connor , ✅(2s) 
 sdkman/neo4j_migrations/neo4j_migrations , ✅(1s) 
 sdkman/flink/flink , ✅(5s) 
 sdkman/maven/maven , ✅(0s) 
 sdkman/maven/mvn , ✅(1s) 
 sdkman/ktx/ktx , ✅(2s) 
 sdkman/layrry/layrry , ✅(1s) 
 sdkman/kobweb/kobweb , ✅(2s) 
 sdkman/grails/grails , ✅(4s) 
 sdkman/jmeter/jmeter , ❌(xbin init) 
 sdkman/mybatis_migrations/mybatis_migrations , ✅(2s) 
 sdkman/mybatis_migrations/migrate , ✅(0s) 
 sdkman/schemacrawler/schemacrawler , ✅(7s) 
 sdkman/gradle/gradle , ✅(5s) 
 sdkman/mulefd/mulefd , ✅(1s) 
 sdkman/pomchecker/pomchecker , ✅(2s) 
 sdkman/jbake/jbake , ✅(3s) 
 sdkman/hadoop/hadoop , ✅(17s) 
 sdkman/ki/ki , ✅(2s) 
 sdkman/micronaut/mn , ✅(2s) 
 sdkman/micronaut/micronaut , ✅(0s) 
 sdkman/skeletal/skeletal , ✅(2s) 
 sdkman/gaiden/gaiden , ✅(1s) 
 sdkman/sbt/sbt , ✅(2s) 
 sdkman/bpipe/bpipe , ✅(2s) 
 sdkman/doctoolchain/doctoolchain , ✅(1s) 
 sdkman/mvnd/mvnd , - 
 sdkman/visualvm/visualvm , ✅(2s) 
 sdkman/concurnas/concurnas , - 
 sdkman/concurnas/conc , - 
 sdkman/ballerina/ballerina , ✅(6s) 
 sdkman/ballerina/bal , ✅(0s) 
 sdkman/pierrot/pierrot , - 
 sdkman/toolkit/toolkit , ✅(1s) 
 sdkman/mcs/mcs , ✅(1s) 
 sdkman/infrastructor/infrastructor , ✅(1s) 
 sdkman/groovyserv/groovyserv , ✅(2s) 
 sdkman/groovyserv/groovyserver , ✅(0s) 
 shell/zsh/zsh , ✅(2s) 
 network/tunasync/tunasync , - 
 network/tunasync/tunasynctl , - 
 network/termshark/termshark , ✅(2s) 
 network/globalping/globalping , ✅(1s) 
 network/doggo/doggo , ✅(2s) 
 network/gost/gost , ✅(2s) 
 network/aria2/aria , ✅(1s) 
 network/aria2/aria2 , ✅(0s) 
 network/tcping/tcping , ✅(2s) 
 network/nexttrace/nexttrace , ✅(1s) 
 network/curl/curl , ✅(1s) 
 network/frp/frp , ✅(2s) 
 network/frp/frps , ✅(0s) 
 network/frp/frpc , ✅(0s) 
 network/brook/brook , ❌(xbin init) 
 network/websocat/websocat , ✅(1s) 
 network/nali/nali , ✅(1s) 
 network/bandwhich/bandwhich , ✅(1s) 
 network/traceroute/traceroute , - 
 network/socat/socat , ✅(1s) 
 db-mysql/mysql/mysql , ✅(5s) 
 wasm/wasmtime/wasmtime , ✅(2s) 
 wasm/wasmer/wasmer , ✅(5s) 
 wasm/jco/jco , ✅(7s) 
 entertainment/shtris/shtris , ✅(1s) 
 other/qrencode/qrencode , ✅(2s) 
 other/qrencode/qr , ✅(0s) 
 file-disk/dust/du , ✅(1s) 
 file-disk/dust/dust , ✅(0s) 
 file-disk/gdu/gdu , ✅(2s) 
 file-disk/smartctl/smartctl , ✅(1s) 
 file-disk/ncdu/ncdu , ✅(2s) 
 file-disk/dua/dua , ✅(1s) 
 file-disk/duf/duf , ✅(1s) 
 lang-perl-raku/perl/perl , ✅(3s) 
 lang-perl-raku/raku/raku , ✅(1s) 
 terminal/gum/gum , ✅(2s) 
 terminal/zellij/zellij , ✅(2s) 
 terminal/tmux/tmux , ✅(1s) 
 filesystem/fd/fd , ✅(1s) 
 filesystem/fd/ff , ✅(0s) 
 filesystem/exa/exa , ✅(1s) 
 filesystem/lsd/lsd , ✅(1s) 
 filesystem/difft/difft , ✅(2s) 
 filesystem/eza/eza , ✅(1s) 
 filesystem/bat/bat , ✅(2s) 
 filesystem/termscp/termscp , ✅(1s) 
 db-sqlite/ws4sqlite/ws4sqlite , ✅(2s) 
 db-sqlite/sqlite3/sqlite3 , ✅(2s) 
 cloud-public/gcloud/gcloud , ✅(11s) 
 cloud-public/doctl/doctl , ✅(2s) 
 cloud-public/qshell/qshell , ✅(2s) 
 cloud-public/ibmcloud/ibmcloud , ✅(1s) 
 cloud-public/aliyun/aliyun , ❌(xbin init) 
 cloud-public/ucloud/ucloud , ✅(2s) 
 cloud-public/koocli/koocli , ❌(xbin init) 
 cloud-public/hcloud/hcloud , ✅(2s) 
 data-json-yml/yq/yq , ✅(1s) 
 data-json-yml/dasel/dasel , ✅(2s) 
 data-json-yml/jq/jq , ✅(1s) 
 lang/zig/zig , ✅(7s) 
 lang/go/go , ✅(7s) 
 lang/go/gofmt , ✅(0s) 
 lang/python/python , ✅(11s) 
 lang/python/pip , ✅(1s) 
 lang/python/pip3 , ✅(0s) 
 lang/java/java , ✅(5s) 
 lang/java/javac , ✅(0s) 
 lang/kotlin/kotlin , ✅(3s) 
 lang/kotlin/kotlinc , ✅(0s) 
 lang/lua/lua , ✅(1s) 
 lang/lua/luac , ✅(0s) 
 lang/scala/scala , ✅(2s) 
 lang/scala/scaladoc , ✅(0s) 
 lang/julia/julia , ✅(2s) 
 lang/groovy/groovy , ✅(2s) 
 lang/mawk/mawk , ✅(1s) 
 container/bwrap/bwrap , - 
 container/lazydocker/lazydocker , ✅(1s) 
 container/syft/syft , ✅(2s) 
 common/7zz/7zz , ✅(1s) 
 common/7za/7za , ✅(0s) 
 common/7za/7z , ✅(1s) 
 common/busybox/busybox , - 
 common/zstd/zstd , ✅(1s) 
 data-line/rg/rg , ✅(1s) 
 data-line/skim/sk , ✅(2s) 
 data-line/fzf/fzf , ✅(1s) 
 scm-git-service/soft-serve/soft , ❌(xbin init) 
 scm-git-service/goreleaser/goreleaser , ✅(2s) 
 scm-git-service/tea/tea , ✅(2s) 
 scm-git-service/gitea/gitea , ✅(5s) 
 scm-git-service/act_runner/act_runner , ✅(2s) 
 programming/tokei/tokei , ✅(1s) 
 ai/whispercpp/whispercpp , ✅(2s) 
 ai/chatgpt/chatgpt , ✅(1s) 
 multimedia/agg/agg , ✅(1s) 
 multimedia/ffmpeg/ffmpeg , ✅(2s) 
 multimedia/termsvg/termsvg , ✅(1s) 
 multimedia/pdfcpu/pdfcpu , ✅(2s) 
 multimedia/vhs/vhs , ❌(xbin init) 
 multimedia/qpdf/qpdf , - 
 multimedia/magick/magick , ✅(2s) 
 multimedia/cwebp/cwebp , ✅(1s) 
 db/lazysql/lazysql , ✅(2s) 
 db/usql/usql , ✅(4s) 
 db/etcd/etcd , ✅(2s) 
 db/etcd/etcdctl , ✅(0s) 
 db/etcd/etcdutl , ✅(0s) 
 markdown-html/mermaid-ascii/mermaid-ascii , ✅(1s) 
 markdown-html/glow/glow , ✅(2s) 
 finance/hledger/hledger , ✅(3s) 
 container-kube/k3d/k3d , ✅(1s) 
 container-kube/minikube/minikube , ✅(4s) 
 container-kube/kind/kind , ✅(1s) 
 container-kube/kubectx/kubectx , ✅(2s) 
 container-kube/helm/helm , ✅(2s) 
 file-manager/broot/broot , - 
 file-manager/superfile/spf , ✅(2s) 
 file-manager/yazi/yazi , ✅(1s) 
 file-manager/lf/lf , ✅(2s) 
 data-text/sd/sd , ✅(1s) 
 data-text/pandoc/pandoc , ✅(3s) 
 web-browser/ttyd/ttyd , ✅(2s) 
 lang-python/miniconda/conda , ✅(13s) 
 editor/micro/micro , ✅(2s) 
 editor/nvim/nvim , ✅(2s) 
 editor/helix/helix , ✅(4s) 
 editor/helix/hx , ❌(xbin init) 
