 misc/grex/grex , ✅(1s) 
 osman/mirrord/mirrord , ✅(3s) 
 osman/osquery/osqueryi , - 
 osman/ismc/ismc , ✅(1s) 
 osman/proot/proot , - 
 osman/procs/procs , ✅(2s) 
 osman/zenith/zenith , ✅(1s) 
 osman/gotop/gotop , ✅(1s) 
 osman/fastfetch/fastfetch , ✅(2s) 
 osman/bottom/btm , ✅(2s) 
 data-bin/upx/upx , - 
 cloud-tool/terraform/terraform , ✅(3s) 
 cloud-tool/rclone/rclone , ✅(2s) 
 test/hyperfine/hyperfine , ✅(2s) 
 test/ffuf/ffuf , ✅(1s) 
 web-apitool/hurl/hurl , ✅(1s) 
 web-apitool/hurl/hurlfmt , ✅(0s) 
 scm-git-tool/tig/tig , ✅(1s) 
 scm-git-tool/bit/bit , ✅(1s) 
 scm-git-tool/lazygit/lazygit , ✅(2s) 
 scm-git-tool/gitui/gitui , ✅(1s) 
 scm-git-tool/gix/gix , ✅(2s) 
 scm-git-tool/gix/ein , ✅(0s) 
 scm-git-tool/jj/jj , ✅(2s) 
 scm-git-tool/gitleaks/gitleaks , ✅(1s) 
 lang-js-ts/deno/deno , ✅(3s) 
 lang-js-ts/bun/bun , ✅(2s) 
 lang-js-ts/bun/bunx , ✅(0s) 
 lang-js-ts/node/node , ✅(3s) 
 lang-js-ts/node/npm , ✅(0s) 
 lang-js-ts/node/npx , ✅(0s) 
 security/ncat/ncat , ✅(2s) 
 security/ezcheck/ezcheck , ✅(1s) 
 security/cfssl/cfssl , ✅(2s) 
 security/rustscan/rustscan , ✅(1s) 
 security/nping/nping , ✅(2s) 
 security/skate/skate , ✅(1s) 
 security/gosop/gosop , ✅(2s) 
 security/easyrsa/easyrsa , ✅(1s) 
 security/sodium/sodium , ✅(1s) 
 security/nmap/nmap , ✅(1s) 
 security/kyanos/kyanos , - 
 security/openssl/ssl , ✅(2s) 
 security/openssl/openssl , ✅(0s) 
 security/lynis/lynis , ❌(xbin init) 
 security/grype/grype , ✅(3s) 
 data-csv-tsv/miller/mlr , ✅(1s) 
 data-csv-tsv/trdsql/trdsql , ✅(2s) 
 data-csv-tsv/xsv/xsv , ✅(1s) 
 sdkman/activemq/activemq , ❌(xbin init) 
 sdkman/ant/ant , ❌(xbin init) 
 sdkman/quarkus/quarkus , ✅(2s) 
 sdkman/karaf/karaf , ❌(xbin init) 
 sdkman/kscript/kscript , ✅(2s) 
 sdkman/btrace/btrace , ✅(1s) 
 sdkman/connor/connor , ✅(1s) 
 sdkman/neo4j_migrations/neo4j_migrations , ✅(3s) 
 sdkman/flink/flink , ✅(30s) 
 sdkman/maven/maven , ❌(xbin init) 
 sdkman/maven/mvn , ❌(xbin init) 
 sdkman/ktx/ktx , ✅(2s) 
 sdkman/layrry/layrry , ✅(1s) 
 sdkman/kobweb/kobweb , ✅(2s) 
 sdkman/grails/grails , ✅(7s) 
 sdkman/jmeter/jmeter , ❌(xbin init) 
 sdkman/mybatis_migrations/mybatis_migrations , ✅(2s) 
 sdkman/mybatis_migrations/migrate , ✅(0s) 
 sdkman/schemacrawler/schemacrawler , ✅(7s) 
 sdkman/gradle/gradle , ✅(5s) 
 sdkman/mulefd/mulefd , ✅(2s) 
 sdkman/pomchecker/pomchecker , ✅(1s) 
 sdkman/jbake/jbake , ✅(4s) 
 sdkman/hadoop/hadoop , ✅(46s) 
 sdkman/ki/ki , ✅(3s) 
 sdkman/micronaut/mn , ✅(2s) 
 sdkman/micronaut/micronaut , ✅(0s) 
 sdkman/skeletal/skeletal , ✅(2s) 
 sdkman/gaiden/gaiden , ✅(2s) 
 sdkman/sbt/sbt , ✅(3s) 
 sdkman/bpipe/bpipe , ✅(3s) 
 sdkman/doctoolchain/doctoolchain , ✅(1s) 
 sdkman/mvnd/mvnd , - 
 sdkman/visualvm/visualvm , ✅(3s) 
 sdkman/concurnas/concurnas , - 
 sdkman/concurnas/conc , - 
 sdkman/ballerina/ballerina , ✅(7s) 
 sdkman/ballerina/bal , ✅(0s) 
 sdkman/pierrot/pierrot , - 
 sdkman/toolkit/toolkit , ✅(2s) 
 sdkman/mcs/mcs , ✅(2s) 
 sdkman/infrastructor/infrastructor , ✅(2s) 
 sdkman/groovyserv/groovyserv , ✅(2s) 
 sdkman/groovyserv/groovyserver , ✅(0s) 
 shell/zsh/zsh , ✅(3s) 
 network/tunasync/tunasync , - 
 network/tunasync/tunasynctl , - 
 network/termshark/termshark , ✅(1s) 
 network/globalping/globalping , ✅(2s) 
 network/doggo/doggo , ✅(1s) 
 network/gost/gost , ✅(2s) 
 network/aria2/aria , ✅(2s) 
 network/aria2/aria2 , ✅(0s) 
 network/tcping/tcping , ✅(1s) 
 network/nexttrace/nexttrace , ✅(2s) 
 network/curl/curl , ✅(1s) 
 network/frp/frp , ✅(2s) 
 network/frp/frps , ✅(0s) 
 network/frp/frpc , ✅(0s) 
 network/brook/brook , ❌(xbin init) 
 network/websocat/websocat , ✅(1s) 
 network/nali/nali , ✅(2s) 
 network/bandwhich/bandwhich , ✅(1s) 
 network/traceroute/traceroute , - 
 network/socat/socat , ✅(1s) 
 db-mysql/mysql/mysql , ✅(13s) 
 wasm/wasmtime/wasmtime , ✅(1s) 
 wasm/wasmer/wasmer , ✅(5s) 
 wasm/jco/jco , ✅(7s) 
 entertainment/shtris/shtris , ✅(2s) 
 other/qrencode/qrencode , ✅(1s) 
 other/qrencode/qr , ✅(0s) 
 file-disk/dust/du , ✅(1s) 
 file-disk/dust/dust , ✅(0s) 
 file-disk/gdu/gdu , ✅(2s) 
 file-disk/smartctl/smartctl , ✅(1s) 
 file-disk/ncdu/ncdu , ✅(1s) 
 file-disk/dua/dua , ✅(1s) 
 file-disk/duf/duf , ✅(1s) 
 lang-perl-raku/perl/perl , ✅(4s) 
 lang-perl-raku/raku/raku , ❌(xbin init) 
 terminal/gum/gum , ✅(1s) 
 terminal/zellij/zellij , ✅(2s) 
 terminal/tmux/tmux , ✅(2s) 
 filesystem/fd/fd , ✅(1s) 
 filesystem/fd/ff , ✅(0s) 
 filesystem/difft/difft , ✅(2s) 
 filesystem/bat/bat , ✅(1s) 
 filesystem/termscp/termscp , ✅(2s) 
 db-sqlite/ws4sqlite/ws4sqlite , ✅(1s) 
 db-sqlite/sqlite3/sqlite3 , ✅(1s) 
 cloud-public/gcloud/gcloud , ✅(13s) 
 cloud-public/doctl/doctl , ✅(2s) 
 cloud-public/qshell/qshell , ✅(1s) 
 cloud-public/ibmcloud/ibmcloud , ✅(1s) 
 cloud-public/aliyun/aliyun , ❌(xbin init) 
 cloud-public/ucloud/ucloud , ✅(1s) 
 cloud-public/koocli/koocli , ❌(xbin init) 
 cloud-public/hcloud/hcloud , ✅(1s) 
 data-json-yml/yq/yq , ✅(1s) 
 data-json-yml/dasel/dasel , ✅(2s) 
 data-json-yml/jq/jq , ✅(1s) 
 lang/zig/zig , ✅(6s) 
 lang/go/go , ✅(7s) 
 lang/go/gofmt , ✅(0s) 
 lang/python/python , ✅(15s) 
 lang/python/pip , ✅(0s) 
 lang/python/pip3 , ✅(0s) 
 lang/java/java , ✅(5s) 
 lang/java/javac , ✅(0s) 
 lang/kotlin/kotlin , ✅(3s) 
 lang/kotlin/kotlinc , ✅(0s) 
 lang/lua/lua , ✅(1s) 
 lang/lua/luac , ✅(1s) 
 lang/scala/scala , ✅(2s) 
 lang/scala/scaladoc , ✅(0s) 
 lang/julia/julia , ✅(2s) 
 lang/groovy/groovy , ✅(3s) 
 lang/mawk/mawk , ✅(1s) 
 lang/xgo/xgo , ✅(2s) 
 container/bwrap/bwrap , - 
 container/lazydocker/lazydocker , ✅(2s) 
 container/syft/syft , ✅(2s) 
 common/7zz/7zz , ✅(2s) 
 common/7za/7za , ✅(0s) 
 common/7za/7z , ✅(0s) 
 common/busybox/busybox , - 
 common/zstd/zstd , ✅(2s) 
 data-line/rg/rg , ✅(1s) 
 data-line/skim/sk , ✅(1s) 
 data-line/fzf/fzf , ✅(2s) 
 scm-git-service/soft-serve/soft , ❌(xbin init) 
 scm-git-service/goreleaser/goreleaser , ✅(2s) 
 scm-git-service/tea/tea , ✅(2s) 
 scm-git-service/gitea/gitea , ✅(4s) 
 scm-git-service/act_runner/act_runner , ✅(2s) 
 programming/tokei/tokei , ✅(1s) 
 ai/whispercpp/whispercpp , ✅(1s) 
 ai/codex/codex , ❌(xbin init) 
 ai/gemini-cli/gemini-cli , ❌(xbin init) 
 ai/chatgpt/chatgpt , ✅(2s) 
 multimedia/agg/agg , ✅(1s) 
 multimedia/ffmpeg/ffmpeg , ✅(1s) 
 multimedia/termsvg/termsvg , ✅(2s) 
 multimedia/pdfcpu/pdfcpu , ✅(1s) 
 multimedia/vhs/vhs , ❌(xbin init) 
 multimedia/qpdf/qpdf , - 
 multimedia/magick/magick , ✅(2s) 
 multimedia/cwebp/cwebp , ✅(1s) 
 db/lazysql/lazysql , ✅(1s) 
 db/usql/usql , ✅(4s) 
 db/etcd/etcd , ✅(2s) 
 db/etcd/etcdctl , ✅(0s) 
 db/etcd/etcdutl , ✅(0s) 
 markdown-html/mermaid-ascii/mermaid-ascii , ✅(2s) 
 markdown-html/glow/glow , ✅(1s) 
 finance/hledger/hledger , ✅(3s) 
 container-kube/k3d/k3d , ✅(2s) 
 container-kube/minikube/minikube , ✅(3s) 
 container-kube/kind/kind , ✅(1s) 
 container-kube/kubectx/kubectx , ✅(2s) 
 container-kube/helm/helm , ✅(2s) 
 file-manager/broot/broot , - 
 file-manager/superfile/spf , ✅(2s) 
 file-manager/exa/exa , ✅(0s) 
 file-manager/lsd/lsd , ✅(1s) 
 file-manager/yazi/yazi , ✅(2s) 
 file-manager/eza/eza , ✅(1s) 
 file-manager/lf/lf , ✅(1s) 
 data-text/sd/sd , ✅(1s) 
 data-text/pandoc/pandoc , ✅(2s) 
 web-browser/ttyd/ttyd , ✅(2s) 
 lang-python/miniconda/conda , ✅(12s) 
 editor/micro/micro , ✅(2s) 
 editor/nvim/nvim , ✅(2s) 
 editor/helix/helix , ✅(3s) 
 editor/helix/hx , ❌(xbin init) 
